gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	countryCode	locality	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
1944217710	ad43e954-dd79-4986-ae34-9ccdbd8bf568	MH749270	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Eupteleaceae	Euptelea	Euptelea pleiosperma		SPECIES	Euptelea pleiosperma Hook.f. & Thomson	US	USA:United States National Arboretum China valley	ada9d123-ddb4-467d-8891-806ea8d94230	38.91	-76.96											3915937	3915937	PRESERVED_SPECIMEN					Gostel, M. R.		CC_BY_4_0		J. S. Suissa & M. Gostel			2018-12-22T03:27:41.230Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84
1942073412	ad43e954-dd79-4986-ae34-9ccdbd8bf568	MH749136	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Eupteleaceae	Euptelea	Euptelea pleiosperma		SPECIES	Euptelea pleiosperma Hook.f. & Thomson	US	USA:United States National Arboretum China valley	ada9d123-ddb4-467d-8891-806ea8d94230	38.91	-76.96							2017-05-26T00:00:00Z	26	5	2017	3915937	3915937	PRESERVED_SPECIMEN					Gostel, M. R.		CC_BY_4_0		J. S. Suissa & M. Gostel			2018-12-07T16:06:24.917Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84
1942073349	ad43e954-dd79-4986-ae34-9ccdbd8bf568	MH748977	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Eupteleaceae	Euptelea	Euptelea pleiosperma		SPECIES	Euptelea pleiosperma Hook.f. & Thomson	US	USA:United States National Arboretum China valley	ada9d123-ddb4-467d-8891-806ea8d94230	38.91	-76.96							2017-05-26T00:00:00Z	26	5	2017	3915937	3915937	PRESERVED_SPECIMEN					Gostel, M. R.		CC_BY_4_0		J. S. Suissa & M. Gostel			2018-12-07T16:06:24.903Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84
1936336966	834c9918-f762-11e1-a439-00145eb45e9a	8f89ba10-3192-4a36-b4f7-03d28ea0feea	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Eupteleaceae	Euptelea	Euptelea polyandra		SPECIES	Euptelea polyandra Siebold & Zucc.	JP	Japonia	0363cbd4-f666-455e-8e86-0bbddcf51950													3915940	3915940	PRESERVED_SPECIMEN	MA	MA	MA-02-00251411				CC_BY_NC_4_0					2018-12-10T16:47:59.687Z	STILLIMAGE	
1936038382	834c9918-f762-11e1-a439-00145eb45e9a	3764318b-20fe-11e3-9e2e-000c29035824	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Eupteleaceae	Euptelea	Euptelea polyandra		SPECIES	Euptelea polyandra Siebold & Zucc.	JP	Japonia	0363cbd4-f666-455e-8e86-0bbddcf51950													3915940	3915940	PRESERVED_SPECIMEN	MA	MA	MA-01-00251411				CC_BY_NC_4_0					2018-12-07T01:32:58.095Z	STILLIMAGE	
1934164619	848f7570-f762-11e1-a439-00145eb45e9a	4fed99d6-17d9-425c-a88c-58ca533998f6	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Eupteleaceae	Euptelea	Euptelea polyandra		SPECIES	Euptelea polyandra Siebold & Zucc.	JP		4fd82480-ea1c-11da-8db4-b8a03c50a862									1950-07-25T00:00:00Z	25	7	1950	3915940	3915940	PRESERVED_SPECIMEN	TNS	VS	1066650				CC_BY_4_0					2018-12-09T06:13:15.315Z		
1934164600	848f7570-f762-11e1-a439-00145eb45e9a	aaa4636b-53f8-4811-8a11-3d4a91058bab	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Eupteleaceae	Euptelea	Euptelea polyandra		SPECIES	Euptelea polyandra Siebold & Zucc.	JP		4fd82480-ea1c-11da-8db4-b8a03c50a862	33.1882	131.3212							1953-05-10T00:00:00Z	10	5	1953	3915940	3915940	PRESERVED_SPECIMEN	TNS	VS	108178				CC_BY_4_0					2018-12-09T06:13:15.222Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1934164596	848f7570-f762-11e1-a439-00145eb45e9a	bb0f0c07-6971-4a79-8182-dec41494e450	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Eupteleaceae	Euptelea	Euptelea polyandra		SPECIES	Euptelea polyandra Siebold & Zucc.	JP		4fd82480-ea1c-11da-8db4-b8a03c50a862	34.1591	136.0147							1933-07-20T00:00:00Z	20	7	1933	3915940	3915940	PRESERVED_SPECIMEN	TNS	VS	220884				CC_BY_4_0					2018-12-09T06:13:15.244Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1934164593	848f7570-f762-11e1-a439-00145eb45e9a	416ed0d9-285c-4d97-bbea-29befd9badf5	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Eupteleaceae	Euptelea	Euptelea polyandra		SPECIES	Euptelea polyandra Siebold & Zucc.	JP		4fd82480-ea1c-11da-8db4-b8a03c50a862									1949-06-22T00:00:00Z	22	6	1949	3915940	3915940	PRESERVED_SPECIMEN	TNS	VS	648391				CC_BY_4_0					2018-12-09T06:13:15.262Z		
1934152431	848f7570-f762-11e1-a439-00145eb45e9a	874dd7c6-9a07-4a55-bd34-5f9b93385fc2	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Eupteleaceae	Euptelea	Euptelea polyandra		SPECIES	Euptelea polyandra Siebold & Zucc.	JP		4fd82480-ea1c-11da-8db4-b8a03c50a862	34.6962	136.2698							1933-08-10T00:00:00Z	10	8	1933	3915940	3915940	PRESERVED_SPECIMEN	TNS	VS	684789				CC_BY_4_0					2018-12-09T06:13:09.877Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
